ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-4.99,-0.45,7.07,-0.19,0.01,-0.07,0.98908,-0.12053,0.00727,-0.07398,-8.531029977694859,-0.19780809003779978,-13.880918011959164
-5.31,-0.69,6.74,-0.26,-0.05,-0.04,0.98902,-0.12086,0.00744,-0.074,-8.535754975146785,-0.1816658781658956,-13.920624724966492
-5.4,-0.73,6.35,-0.28,-0.07,-0.0,0.98897,-0.12123,0.00759,-0.07396,-8.533269334501425,-0.1672911369154916,-13.964639330803044
-5.25,-0.63,5.85,-0.21,-0.1,0.07,0.98894,-0.1215,0.0077,-0.07381,-8.517700419285305,-0.15505139216002617,-13.99681645329834
-5.08,-0.56,5.46,-0.08,-0.12,0.12,0.98894,-0.12158,0.00777,-0.07358,-8.492470096214456,-0.1445909346727552,-14.006760615733816
-4.83,-0.44,5.15,0.12,-0.11,0.14,0.98897,-0.12136,0.00784,-0.07333,-8.465068115519223,-0.13129958161782818,-13.982247059726417
-4.56,-0.25,5.11,0.37,-0.07,0.14,0.98905,-0.12075,0.00794,-0.07309,-8.439236602967759,-0.1114472942190683,-13.912991826505003
-4.14,-0.04,5.34,0.7,-0.03,0.11,0.98918,-0.11963,0.00805,-0.0729,-8.419340058867167,-0.08687510274952066,-13.785152592387822
-3.87,0.17,5.73,0.87,0.01,0.08,0.98933,-0.11824,0.00819,-0.07277,-8.406729082603663,-0.057491981369024475,-13.626548113459254
-3.67,0.31,6.22,0.94,0.03,0.05,0.98949,-0.11673,0.00833,-0.07269,-8.399754453662473,-0.02780587207228995,-13.45411209455301
-3.64,0.5,6.61,0.91,0.04,0.03,0.98964,-0.11525,0.00848,-0.07264,-8.396285555540532,0.002336201032825496,-13.28526019701877
-4.31,1.21,6.45,0.62,0.09,0.07,0.98974,-0.11418,0.00874,-0.07254,-8.388523783984802,0.04213651180434657,-13.164612632088897
-5.48,2.25,5.05,0.2,0.24,0.19,0.98978,-0.11372,0.00929,-0.07228,-8.366249623261577,0.1117697669371279,-13.116621161987839
-6.19,2.77,4.22,-0.27,0.47,0.34,0.98975,-0.11393,0.01026,-0.07183,-8.32789066247293,0.22588840522249373,-13.1492999522226
-6.56,3.45,2.78,-0.19,0.71,0.52,0.98975,-0.11399,0.0116,-0.07115,-8.268158762891375,0.3862580115475032,-13.167655039726661
-6.68,4.2,1.37,0.08,1.06,0.75,0.98981,-0.11361,0.01347,-0.0702,-8.18442212219946,0.6139152490137084,-13.13948831659912
-5.93,4.83,0.56,0.74,1.62,1.08,0.99,-0.11216,0.01614,-0.06887,-8.06679007202838,0.9458978292206655,-12.994146987908556
-4.33,3.78,2.0,1.79,1.92,1.3,0.99037,-0.1091,0.01917,-0.06728,-7.921210428057952,1.334555979948456,-12.665431206496692
-2.29,1.59,4.14,3.33,2.03,1.4,0.99098,-0.10373,0.02221,-0.06561,-7.760403940884375,1.742511848087952,-12.069734703376925
-0.69,-0.79,7.33,4.28,2.02,1.38,0.9917,-0.09692,0.02511,-0.064,-7.59768979850111,2.143213756192919,-11.306383559806115
0.17,-2.42,10.79,4.67,1.73,1.19,0.99243,-0.08987,0.02721,-0.06268,-7.453628004988565,2.4496788831261753,-10.508633967626023
-1.4,-2.62,13.87,3.9,1.22,0.91,0.993,-0.08391,0.02901,-0.06163,-7.336625060122497,2.7094449990451452,-9.83434582480572
-3.47,-1.45,14.47,2.56,0.79,0.69,0.99335,-0.0799,0.03024,-0.06079,-7.241354402813809,2.8868410579047334,-9.380482686851604
-5.05,-0.23,13.72,1.01,0.37,0.51,0.9935,-0.07823,0.03096,-0.0601,-7.164316442313781,2.987281186172055,-9.192046288541102
-5.95,0.35,11.9,-0.31,0.01,0.32,0.99349,-0.07858,0.03124,-0.05959,-7.109611144834717,3.0213512093197346,-9.232945729946225
-6.15,0.39,8.92,-1.41,-0.31,0.05,0.99334,-0.08062,0.03112,-0.05939,-7.0916738283714515,2.9950360781936665,-9.466027768648003
-5.74,0.36,6.68,-1.64,-0.42,-0.14,0.99315,-0.08304,0.03084,-0.05945,-7.10292315778832,2.9453854943763274,-9.742340353288157
-5.17,0.51,4.88,-1.49,-0.39,-0.28,0.99296,-0.08523,0.03057,-0.05973,-7.138625481317277,2.8962743623835885,-9.9929437762562
-4.7,0.76,3.71,-1.12,-0.25,-0.34,0.9928,-0.08686,0.03047,-0.06013,-7.188107661079231,2.8691649249824316,-10.180803581742639
-4.44,0.91,3.13,-0.52,-0.01,-0.31,0.9927,-0.08756,0.03067,-0.06055,-7.24042598269832,2.882546224413312,-10.264160919791916
-4.44,0.66,3.24,-0.12,0.18,-0.23,0.99265,-0.08766,0.03113,-0.06089,-7.284633455601258,2.930647879771235,-10.280313370548878
-4.69,0.22,3.7,0.2,0.34,-0.15,0.99265,-0.08728,0.03182,-0.06115,-7.320631061741224,3.0092915816497703,-10.242755069418207
-5.1,-0.26,4.26,0.46,0.48,-0.08,0.99268,-0.08652,0.0327,-0.06133,-7.348261739147568,3.113192593221471,-10.162809408875885
-5.89,-0.59,4.87,0.73,0.59,0.01,0.99275,-0.08535,0.03374,-0.06141,-7.364612156828652,3.2394002156425175,-10.036654454777564
-6.6,-0.5,5.13,0.88,0.64,0.09,0.99284,-0.08395,0.03485,-0.06138,-7.368051256738522,3.376402877576058,-9.88429233230246
-7.24,-0.36,5.25,0.99,0.66,0.18,0.99295,-0.08237,0.03599,-0.06123,-7.357044658000139,3.5193433101846416,-9.711044688925721
-7.46,-0.33,5.44,1.14,0.64,0.24,0.99308,-0.08057,0.03709,-0.06099,-7.334107105790528,3.660179687650183,-9.511837582554595
-7.34,-0.15,5.43,1.27,0.58,0.28,0.99323,-0.07857,0.03809,-0.06069,-7.3020717004775895,3.7915896898209365,-9.288547122473375
-7.58,0.11,5.29,1.38,0.47,0.31,0.9934,-0.07641,0.03892,-0.06034,-7.26153556078956,3.9051574945283165,-9.045224366056347
-7.42,0.55,5.07,1.43,0.42,0.28,0.99357,-0.07417,0.03967,-0.06004,-7.225227463695231,4.009593910304813,-8.79221848436035
-7.05,0.94,5.07,1.42,0.38,0.24,0.99373,-0.07194,0.04035,-0.05979,-7.193666504468899,4.105398575749003,-8.540006611507566
-6.51,1.29,5.17,1.39,0.33,0.18,0.99388,-0.06974,0.04095,-0.05962,-7.170332073570088,4.191082495449051,-8.290931216139848
-4.97,1.88,5.4,1.29,0.26,0.05,0.994,-0.06767,0.04142,-0.05963,-7.166850751103149,4.2594308409984585,-8.056632306819225
-4.06,2.13,5.77,1.12,0.23,-0.03,0.99409,-0.06583,0.04183,-0.05975,-7.176297699080999,4.318395680871258,-7.848848358446744
-3.47,2.23,6.0,0.92,0.16,-0.09,0.99416,-0.06428,0.04213,-0.05994,-7.193949351085313,4.3622467614941325,-7.673857927431843
-2.94,2.39,6.1,0.67,0.12,-0.13,0.9942,-0.06309,0.04236,-0.06017,-7.217141997712601,4.395250249403195,-7.53994672417636
-2.83,2.38,6.22,0.41,0.09,-0.14,0.99421,-0.06229,0.04257,-0.0604,-7.241876079703656,4.423180609275389,-7.450770740723903
-3.58,2.01,6.05,0.08,0.05,-0.12,0.9942,-0.06201,0.04278,-0.06057,-7.261923869083935,4.447860381273286,-7.421051083621666
-4.35,1.63,5.73,-0.09,0.04,-0.11,0.99418,-0.06202,0.04302,-0.06071,-7.279994809574016,4.474119417118983,-7.42472568356436
-4.9,1.42,5.42,-0.17,0.07,-0.1,0.99415,-0.06216,0.04333,-0.06084,-7.298065209116821,4.507489595615717,-7.443861538969115
-5.07,1.42,5.18,-0.16,0.1,-0.09,0.99412,-0.06229,0.04369,-0.06096,-7.3153498929734635,4.546710520990245,-7.462204028190348
-5.0,1.54,5.05,-0.06,0.14,-0.09,0.9941,-0.06226,0.04409,-0.06109,-7.333368483465727,4.591601330586984,-7.46250868641662
-4.91,1.61,5.09,0.04,0.15,-0.08,0.99409,-0.06208,0.0445,-0.06121,-7.349619013179117,4.638815179587734,-7.44560937803364
-4.9,1.64,5.25,0.16,0.16,-0.08,0.99409,-0.06172,0.04491,-0.06134,-7.366165384736671,4.687286148250431,-7.40807567394589
-4.91,1.67,5.49,0.27,0.15,-0.07,0.9941,-0.06119,0.04529,-0.06146,-7.38050257761505,4.733666115861206,-7.350735387011778
-4.94,1.7,5.86,0.34,0.12,-0.08,0.99412,-0.06056,0.04562,-0.0616,-7.396195523318924,4.774970300994413,-7.281575347465064
-4.93,1.72,6.15,0.33,0.08,-0.08,0.99414,-0.05994,0.04589,-0.06173,-7.410285436584841,4.809437318056605,-7.21306161792305
-5.06,2.24,6.68,0.22,0.05,-0.09,0.99415,-0.05947,0.04611,-0.06187,-7.425841764258699,4.837020835303826,-7.161466268029261
-5.05,2.78,7.34,-0.21,0.01,-0.07,0.99412,-0.05963,0.0463,-0.06194,-7.4362187835377,4.856965337715816,-7.1817964671740055
-4.94,2.1,7.02,-0.44,-0.08,-0.05,0.99408,-0.06016,0.0464,-0.06196,-7.441907323999751,4.8642709934785335,-7.243667472702493
-4.9,1.46,6.25,-0.49,-0.11,-0.07,0.99404,-0.06079,0.04647,-0.062,-7.450105988567763,4.867291097711518,-7.316848524516907
-4.67,1.47,6.17,-0.55,-0.08,-0.07,0.99399,-0.0615,0.04659,-0.06204,-7.459124464147874,4.875396248894557,-7.399658170043223
-4.51,1.35,6.23,-0.63,-0.06,-0.05,0.99393,-0.06233,0.04675,-0.06205,-7.465638657896542,4.887370597803935,-7.4964700717347
-4.42,1.35,6.08,-0.68,-0.06,-0.04,0.99387,-0.06323,0.04691,-0.06204,-7.470191983003585,4.8989868530992045,-7.601212847949307
-4.31,1.62,5.66,-0.71,-0.08,-0.0,0.99381,-0.06416,0.04704,-0.06196,-7.466642442309736,4.907476646602689,-7.7088493447775495
-4.18,1.72,5.53,-0.76,-0.09,0.04,0.99375,-0.06516,0.04716,-0.06182,-7.456466394565267,4.9147903748869135,-7.824158600050994
-4.04,1.75,5.38,-0.78,-0.11,0.08,0.99369,-0.06619,0.04725,-0.06162,-7.439319710214965,4.918949988703542,-7.942403519297285
-3.93,1.74,5.27,-0.76,-0.12,0.13,0.99363,-0.06718,0.04733,-0.06134,-7.412762193697817,4.922913652981274,-8.055637696886391
-3.75,1.55,5.13,-0.67,-0.15,0.17,0.99359,-0.06804,0.04736,-0.06101,-7.379335785496892,4.922639374749954,-8.153211968854919
-3.67,1.54,5.11,-0.56,-0.17,0.2,0.99356,-0.06873,0.04735,-0.06064,-7.34016180373366,4.919416271830672,-8.230754695748907
-3.55,1.5,5.17,-0.48,-0.21,0.22,0.99354,-0.06931,0.04728,-0.06024,-7.296471612200749,4.910451814204501,-8.295029607540176
-3.58,1.39,5.13,-0.39,-0.24,0.25,0.99354,-0.06976,0.04716,-0.0598,-7.2470371009974395,4.897151947149601,-8.343700004222645
-3.94,1.51,5.01,-0.24,-0.29,0.26,0.99356,-0.06999,0.04696,-0.05935,-7.194640861111552,4.8764470747986834,-8.366373931101755
-4.58,1.72,4.75,-0.16,-0.29,0.28,0.99359,-0.07011,0.04676,-0.05887,-7.138250983719582,4.85680650499121,-8.37625647374208
-4.87,1.56,4.55,-0.15,-0.25,0.29,0.99362,-0.07022,0.04663,-0.05838,-7.081279914108756,4.845325048556824,-8.38549089714662
-4.7,1.47,4.13,-0.07,-0.21,0.29,0.99365,-0.07021,0.04655,-0.0579,-7.025368014649659,4.840286978659258,-8.381411318543979
-4.62,0.97,3.87,-0.04,-0.11,0.29,0.99368,-0.07017,0.04663,-0.05743,-6.971860101574474,4.853648788004995,-8.375118252353586
-4.67,0.54,3.9,-0.14,-0.0,0.28,0.99369,-0.07029,0.04689,-0.05698,-6.92304940133391,4.886260628386723,-8.388703632273364
-4.71,0.17,4.14,-0.23,0.09,0.25,0.99369,-0.07055,0.04729,-0.05658,-6.8818827186603055,4.933517554468644,-8.419614459162304
-4.69,0.17,4.3,-0.24,0.14,0.2,0.99368,-0.07083,0.04776,-0.05626,-6.8506753387769885,4.98796685446182,-8.45373465981547
-4.94,0.2,4.45,-0.25,0.19,0.14,0.99366,-0.07112,0.0483,-0.05604,-6.831683174017744,5.049503787658131,-8.49001945719049
-4.69,0.3,4.3,-0.2,0.21,0.1,0.99364,-0.07133,0.04886,-0.05588,-6.81940712430575,5.11336648261601,-8.517546199814152
-5.33,0.37,4.43,-0.16,0.24,0.05,0.99362,-0.07149,0.04945,-0.0558,-6.816354246722817,5.1803330197081205,-8.53992598714207
-6.48,0.47,4.65,-0.41,0.27,-0.09,0.99355,-0.07203,0.0501,-0.05591,-6.837786754199591,5.249867476797528,-8.60760331553617
-5.13,1.02,4.94,-0.69,0.28,-0.23,0.99344,-0.07296,0.05076,-0.05621,-6.883318816042786,5.316185460172353,-8.721323038709285
-3.9,1.19,5.26,-0.88,0.19,-0.3,0.9933,-0.07415,0.05127,-0.05659,-6.938250714532578,5.362729360420197,-8.864438768952468
-3.94,1.25,5.33,-1.02,0.05,-0.35,0.99315,-0.07556,0.05158,-0.05702,-6.998298951537805,5.384356537288985,-9.031651609211313
-4.1,1.26,5.13,-1.13,-0.09,-0.39,0.993,-0.07716,0.05169,-0.05748,-7.060854944010605,5.3814522865701075,-9.21928966782442
-3.29,0.97,5.04,-1.26,-0.18,-0.4,0.99283,-0.07895,0.05167,-0.05794,-7.123192367343369,5.362133235935033,-9.427877887883293
-4.42,0.8,4.99,-1.38,-0.35,-0.5,0.99265,-0.08098,0.05141,-0.05852,-7.197999742919573,5.312416857519738,-9.662733099594721
-4.36,0.69,4.81,-1.47,-0.37,-0.52,0.99246,-0.08315,0.05113,-0.05911,-7.274259488251723,5.259053417912229,-9.913508578564473
-5.21,0.63,4.92,-1.43,-0.42,-0.61,0.99226,-0.08528,0.05077,-0.05983,-7.364195140466743,5.1952187978416315,-10.159681962872423
-5.72,0.95,4.91,-1.5,-0.4,-0.68,0.99204,-0.08751,0.05043,-0.06065,-7.466092569433338,5.131517592659193,-10.41797456964629
-5.58,1.43,5.15,-1.55,-0.37,-0.71,0.9918,-0.0898,0.05013,-0.06152,-7.574263996536222,5.070927074110776,-10.683737628896187
-5.15,1.93,5.28,-1.61,-0.35,-0.67,0.99154,-0.09215,0.04985,-0.06233,-7.675931861782871,5.012272373438479,-10.9563424582691
-4.8,2.27,5.39,-1.66,-0.33,-0.59,0.99127,-0.09455,0.0496,-0.06301,-7.76310533408125,4.957615968163644,-11.234347858759202
-4.57,2.34,5.41,-1.76,-0.32,-0.46,0.99099,-0.09708,0.04939,-0.06349,-7.828269362098344,4.908387333093231,-11.526719787958543
-4.5,2.18,5.41,-1.83,-0.3,-0.38,0.9907,-0.0997,0.04923,-0.06385,-7.880539949706238,4.865250567316772,-11.829345315717244
-4.65,2.01,5.43,-1.91,-0.26,-0.35,0.99039,-0.10244,0.04914,-0.06417,-7.929534954141829,4.829355156627452,-12.146286133501448
-4.79,1.9,5.49,-1.95,-0.18,-0.36,0.99006,-0.10524,0.04918,-0.06451,-7.98267715183999,4.8072673384208455,-12.471463863075858
-4.78,1.67,5.54,-1.97,-0.13,-0.37,0.98972,-0.10807,0.0493,-0.06487,-8.039223627036149,4.793534264394472,-12.800927679837358
-4.46,1.56,5.45,-1.9,-0.11,-0.35,0.98938,-0.11079,0.04944,-0.0652,-8.092117349825555,4.783040484651428,-13.117895707655146
-4.1,1.41,5.48,-1.75,-0.09,-0.28,0.98906,-0.11327,0.0496,-0.06544,-8.133889012290068,4.777698896675187,-13.407072688787741
-4.32,1.58,5.36,-1.55,-0.12,-0.19,0.98878,-0.11545,0.04971,-0.06556,-8.159787575196393,4.770611410080545,-13.660640581363918
-5.07,1.7,5.1,-1.35,-0.14,-0.04,0.98855,-0.11734,0.04981,-0.06547,-8.160080492486435,4.767630176270367,-13.879606948038264
-5.47,1.34,5.03,-1.21,-0.12,0.04,0.98834,-0.11903,0.04995,-0.06527,-8.147494254006212,4.772352716214854,-14.075458375782457
-5.63,0.88,5.08,-1.08,-0.08,0.09,0.98816,-0.12053,0.05015,-0.06501,-8.12799734394339,4.786390152572993,-14.249550835748963
-5.52,0.53,5.07,-0.98,-0.05,0.13,0.988,-0.12189,0.0504,-0.0647,-8.10288962813521,4.808049151272914,-14.407663441809886
-5.31,0.28,5.0,-0.91,-0.0,0.15,0.98785,-0.12314,0.05072,-0.06438,-8.077241895140986,4.838763242604435,-14.553675003185456
-5.22,0.1,5.04,-0.91,0.03,0.15,0.98769,-0.1244,0.05109,-0.06406,-8.052547541277344,4.875106889658795,-14.701398685961944
-5.14,-0.13,5.11,-0.96,0.04,0.15,0.98752,-0.12574,0.05148,-0.06374,-8.028644037132208,4.913157539848873,-14.85853986187972
-4.89,-0.36,5.29,-1.02,0.05,0.13,0.98734,-0.12717,0.05189,-0.06345,-8.00899868532959,4.952410052938005,-15.026352328226707
-3.86,-0.64,6.34,-1.1,-0.41,0.16,0.98718,-0.12874,0.05163,-0.06302,-7.963519542499525,4.91684336284742,-15.20347098944537
-4.13,-0.65,6.02,-1.21,-0.75,0.1,0.98702,-0.13052,0.05087,-0.0626,-7.912010150615417,4.8230262397841015,-15.400257414407298
-4.59,-0.43,5.76,-1.33,-0.93,0.03,0.98683,-0.1325,0.04984,-0.06224,-7.86368659289407,4.696269299550901,-15.61823655450681
-5.21,-0.74,5.61,-1.33,-1.05,-0.11,0.98664,-0.13452,0.04861,-0.06206,-7.832248188782132,4.54399243204729,-15.839767944705669
-5.09,-1.28,5.17,-1.3,-1.04,-0.4,0.98642,-0.13655,0.04733,-0.06232,-7.849649262965166,4.379077066538592,-16.063972630612565
-4.77,-1.4,4.99,-1.28,-1.05,-0.66,0.98618,-0.13857,0.04598,-0.06296,-7.908499704903975,4.200125314244969,-16.287839640989592
