ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-0.83,-0.04,6.82,0.03,0.04,-0.02,0.99998,0.0009,0.00665,0.00017,0.02016768788311584,0.7620235592561955,0.10326855257505099
-0.8,-0.06,6.81,0.04,0.04,-0.01,0.99998,0.00091,0.00675,0.00016,0.019039774505406216,0.773484362882468,0.10440889370312655
-0.83,-0.06,6.8,0.06,0.04,0.0,0.99998,0.00093,0.00685,0.00016,0.01906592882283973,0.7849439826744545,0.10670285188598365
-0.83,-0.04,6.82,0.08,0.03,0.01,0.99998,0.00096,0.00694,0.00016,0.01909940359814341,0.795257447286193,0.11014261252423893
-0.85,-0.03,6.85,0.09,0.02,0.01,0.99997,0.001,0.00703,0.00016,0.019141753191482352,0.8055626977196056,0.11472952603757967
-0.86,-0.03,6.84,0.1,0.01,0.02,0.99997,0.00105,0.00711,0.00017,0.020337689568785577,0.8147285437426367,0.12046930401593489
-0.87,-0.02,6.83,0.11,-0.0,0.02,0.99997,0.0011,0.00719,0.00018,0.021534545403009687,0.8238942960140362,0.1262092792901716
-0.89,-0.03,6.84,0.12,-0.01,0.01,0.99997,0.00116,0.00726,0.00018,0.021593310435995376,0.8319150642458563,0.1330869041623947
-0.88,-0.02,6.83,0.13,-0.02,0.01,0.99997,0.00122,0.00733,0.00018,0.021653038305233522,0.8399358487817851,0.1399645433594464
-0.89,-0.02,6.84,0.13,-0.03,0.01,0.99997,0.00128,0.00739,0.00018,0.02171225886438587,0.8468106432336849,0.14684196902614707
-0.88,-0.0,6.85,0.13,-0.04,-0.0,0.99997,0.00134,0.00745,0.00018,0.021772304663300164,0.8536854498780877,0.15371940688838923
-0.87,-0.0,6.86,0.13,-0.04,-0.01,0.99997,0.0014,0.00751,0.00017,0.020687163390537,0.8605618732768341,0.16058825083039058
-0.86,-0.0,6.86,0.13,-0.05,-0.01,0.99997,0.00146,0.00756,0.00016,0.01960116948188371,0.8662924342224612,0.1674567609427521
-0.86,0.0,6.89,0.13,-0.05,-0.02,0.99997,0.00152,0.00761,0.00015,0.0185158618940427,0.8720231413604577,0.17432516648497798
-0.87,0.0,6.87,0.13,-0.06,-0.03,0.99997,0.00158,0.00766,0.00013,0.016285226313536835,0.8777558055079342,0.18118468930695833
-0.85,-0.01,6.87,0.12,-0.06,-0.03,0.99997,0.00164,0.00771,0.00011,0.014055275741890685,0.8834887534955687,0.18804399297497554
-0.86,-0.02,6.86,0.12,-0.06,-0.03,0.99997,0.0017,0.00776,9e-05,0.011826010196441802,0.889221985382068,0.19490307752690858
-0.84,-0.01,6.86,0.12,-0.06,-0.04,0.99997,0.00176,0.00781,7e-05,0.009597429694509564,0.8949555012261563,0.20176194300065978
-0.85,-0.02,6.88,0.12,-0.07,-0.04,0.99997,0.00182,0.00785,5e-05,0.007367447282388476,0.8995432784552561,0.20862049935387567
