a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref
-168,106,419,-507,-23,-251,16295,64200,55,64550,-0.01025390625,0.0064697265625,0.02557373046875,-0.03094482421875,-0.00140380859375,-0.01531982421875,0.99456787109375,-0.08154296875,0.00335693359375,-0.0601806640625,-6.910689382876597,-0.17974995635618674,-9.363345102668315,1.000031113625,0.005440184381,0.00407971628,-0.000954060699,-0.10677935848672135,0.4681155631313028,0.6229375077744698
-219,86,409,-502,-18,-251,16290,64154,57,64526,-0.01336669921875,0.0052490234375,0.02496337890625,-0.0306396484375,-0.0010986328125,-0.01531982421875,0.9942626953125,-0.0843505859375,0.00347900390625,-0.0616455078125,-7.078823839914188,-0.19948034657707817,-9.686073110838802,1.000032663345,0.005474523641,0.004290224053,-0.000977689051,-0.10933873225092516,0.4922589146043912,0.6268377991938137
-266,79,406,-489,-10,-246,16284,64109,60,64503,-0.0162353515625,0.00482177734375,0.0247802734375,-0.02984619140625,-0.0006103515625,-0.0150146484375,0.993896484375,-0.08709716796875,0.003662109375,-0.06304931640625,-7.24097993370146,-0.2121850073276768,-10.002870011297711,1.000034213066,0.005491810851,0.004507508595,-0.001000952907,-0.11185924962223875,0.5171770468350585,0.6287825226913016
-310,77,412,-468,-3,-238,16279,64066,64,64481,-0.0189208984375,0.00469970703125,0.025146484375,-0.028564453125,-0.00018310546875,-0.0145263671875,0.99359130859375,-0.0897216796875,0.00390625,-0.06439208984375,-7.396407540626784,-0.21728335246395117,-10.305621241180212,1.000035643578,0.005501293577,0.004727970343,-0.001023527817,-0.1143022232385123,0.5424581416082762,0.6298319548401748
-341,81,424,-448,-3,-228,16274,64025,68,64460,-0.02081298828125,0.00494384765625,0.02587890625,-0.02734375,-0.00018310546875,-0.013916015625,0.9932861328125,-0.09222412109375,0.004150390625,-0.065673828125,-7.544961011606919,-0.22164189890238445,-10.594499632084913,1.000037193298,0.005510494113,0.004948917776,-0.001045189681,-0.1166399498397271,0.5677945807410906,0.6308483618314901
-344,83,444,-435,-5,-212,16269,63985,71,64440,-0.02099609375,0.00506591796875,0.027099609375,-0.02655029296875,-0.00030517578125,-0.012939453125,0.99298095703125,-0.09466552734375,0.00433349609375,-0.06689453125,-7.685935574708891,-0.23256729920811117,-10.876002258230558,1.000038743019,0.005521621555,0.005169504788,-0.001065370976,-0.11880665511368599,0.593089248775816,0.6320854525067744
-327,77,457,-435,-10,-200,16264,63945,74,64422,-0.01995849609375,0.00469970703125,0.02789306640625,-0.02655029296875,-0.0006103515625,-0.01220703125,0.99267578125,-0.09710693359375,0.0045166015625,-0.0679931640625,-7.8129584641323095,-0.24283017365412093,-11.157593730133406,1.000040411949,0.005531340372,0.005389949773,-0.001084447722,-0.12084719357140275,0.6183670837726769,0.6331608010579338
-308,67,461,-440,-20,-189,16259,63905,76,64405,-0.018798828125,0.00408935546875,0.02813720703125,-0.02685546875,-0.001220703125,-0.01153564453125,0.99237060546875,-0.09954833984375,0.004638671875,-0.06903076171875,-7.932288060541379,-0.2599651488529403,-11.438740202785318,1.000042080879,0.005536579993,0.005610338878,-0.001102528884,-0.12277609587170699,0.6436375637679228,0.6337226401630857
-296,55,457,-440,-31,-177,16253,63865,77,64389,-0.01806640625,0.00335693359375,0.02789306640625,-0.02685546875,-0.00189208984375,-0.01080322265625,0.99200439453125,-0.10198974609375,0.00469970703125,-0.07000732421875,-8.04436217469032,-0.2839474940199425,-11.72013564956375,1.000043749809,0.005534815136,0.005831039976,-0.001119545894,-0.12458730290141666,0.6689424562555655,0.6334816821698884
-286,47,441,-433,-41,-161,16248,63825,78,64375,-0.0174560546875,0.00286865234375,0.02691650390625,-0.02642822265625,-0.00250244140625,-0.00982666015625,0.99169921875,-0.10443115234375,0.0047607421875,-0.07086181640625,-8.141953720883278,-0.3069873092589376,-12.000922895471462,1.000045418739,0.005528959911,0.006051584147,-0.001135120983,-0.126236331029327,0.6942281257259083,0.6327722429944245
-285,42,428,-417,-49,-148,16243,63787,78,64362,-0.01739501953125,0.0025634765625,0.026123046875,-0.02545166015625,-0.00299072265625,-0.009033203125,0.99139404296875,-0.10675048828125,0.0047607421875,-0.0716552734375,-8.231893708027751,-0.3356937654558046,-12.267363700631842,1.000047206879,0.005520883948,0.006271914579,-0.001149526448,-0.12775336674104237,0.7194885509204597,0.6318084022706336
-283,40,417,-394,-54,-136,16238,63751,77,64350,-0.01727294921875,0.00244140625,0.02545166015625,-0.0240478515625,-0.0032958984375,-0.00830078125,0.9910888671875,-0.10894775390625,0.00469970703125,-0.0723876953125,-8.314158247438984,-0.36997855059240803,-12.519461779228072,1.000048995018,0.005513648037,0.006491945591,-0.001162841101,-0.12914539579073098,0.7447142868243166,0.6309410031385645
-281,36,410,-371,-56,-120,16233,63717,76,64340,-0.01715087890625,0.002197265625,0.0250244140625,-0.02264404296875,-0.00341796875,-0.00732421875,0.99078369140625,-0.11102294921875,0.004638671875,-0.072998046875,-8.382566212623017,-0.40205213971980486,-12.757809744225563,1.000050783157,0.0055055907,0.006712140981,-0.001174710575,-0.1303727361836514,0.7699580516209069,0.6299799595867503
-279,28,403,-335,-56,-100,16229,63686,75,64332,-0.01702880859375,0.001708984375,0.02459716796875,-0.02044677734375,-0.00341796875,-0.006103515625,0.99053955078125,-0.1129150390625,0.00457763671875,-0.073486328125,-8.436722257546082,-0.4312558128863621,-12.974715711691463,1.000052571297,0.005494575016,0.006932957098,-0.001184801571,-0.13139867253438103,0.7952716526974094,0.6286807228261289
-279,19,399,-307,-54,-84,16225,63658,74,64325,-0.01702880859375,0.00115966796875,0.02435302734375,-0.01873779296875,-0.0032958984375,-0.005126953125,0.99029541015625,-0.1146240234375,0.0045166015625,-0.07391357421875,-8.4840968564152,-0.4583139959551615,-13.170884156055703,1.000054359436,0.005478780251,0.00715446705,-0.001193484641,-0.13226734155028846,0.8206634556927606,0.6268344772704368
-280,11,397,-276,-49,-69,16221,63633,74,64320,-0.01708984375,0.00067138671875,0.02423095703125,-0.016845703125,-0.00299072265625,-0.00421142578125,0.99005126953125,-0.11614990234375,0.0045166015625,-0.07421875,-8.518597033878205,-0.4754267493237568,-13.34693744797527,1.000056147575,0.005459229462,0.007376688067,-0.001200848259,-0.13298837173848166,0.8461356317434257,0.6245584783440645
-278,6,395,-246,-44,-56,16218,63611,74,64316,-0.0169677734375,0.0003662109375,0.02410888671875,-0.0150146484375,-0.002685546875,-0.00341796875,0.9898681640625,-0.11749267578125,0.0045166015625,-0.074462890625,-8.545876613307852,-0.49022914865029804,-13.50147937697425,1.000057935715,0.00543834595,0.007599423639,-0.001207058551,-0.1335790988688406,0.871666103663385,0.6221303844469761
-279,-1,394,-202,-36,-36,16215,63593,75,64314,-0.01702880859375,-6.103515625e-05,0.0240478515625,-0.0123291015625,-0.002197265625,-0.002197265625,0.98968505859375,-0.11859130859375,0.00457763671875,-0.0745849609375,-8.560455060857963,-0.4944354198068099,-13.629001834384471,1.000059723854,0.005415712483,0.007822846062,-0.001211497933,-0.13396912842448955,0.8972741894315428,0.6195030039619822
