a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err
-207,158,418,-435,-46,-259,16316,64374,55,64646,-3.234375,2.46875,6.53125,-1.69921875,-0.1796875,-1.01171875,0.995849609375,-0.0709228515625,0.00335693359375,-0.0543212890625,-6.240356953381768,-0.05839812751475146,-8.144091390727334,0.995807349682,-0.070387244225,0.003318547737,-0.054234832525,-6.230706739526329,-0.0587632694495752,-8.083094729424712,0.009650213855439738,0.0003651419348237456,0.06099666130262271
-208,142,424,-458,-41,-253,16311,64333,54,64622,-3.25,2.21875,6.625,-1.7890625,-0.16015625,-0.98828125,0.99554443359375,-0.07342529296875,0.0032958984375,-0.0557861328125,-6.407636366898806,-0.09338068012550763,-8.431071658833863,0.995527803898,-0.072911478579,0.003274019109,-0.055673219264,-6.394960393945901,-0.09165491502567288,-8.372492738524613,0.01267597295290468,0.0017257650998347418,0.05857892030924994
-184,129,422,-474,-36,-251,16306,64290,54,64598,-2.875,2.015625,6.59375,-1.8515625,-0.140625,-0.98046875,0.9952392578125,-0.0760498046875,0.0032958984375,-0.0572509765625,-6.5752059161513605,-0.12303912227418254,-8.73229829086246,0.995232284069,-0.075521856546,0.003259208519,-0.057100825012,-6.558128139987112,-0.12246303545014835,-8.671972172229273,0.01707777616424888,0.0005760868240341915,0.06032611863318671
-159,119,420,-494,-28,-251,16301,64246,54,64574,-2.484375,1.859375,6.5625,-1.9296875,-0.109375,-0.98046875,0.99493408203125,-0.0787353515625,0.0032958984375,-0.0587158203125,-6.742582373809109,-0.15398936154425685,-9.040411385722644,0.994917392731,-0.078238263726,0.003288858803,-0.058530844748,-6.721868678871679,-0.14979526984232017,-8.983936780257336,0.020713694937430027,0.004194091701936686,0.0564746054653078
-168,106,419,-507,-23,-251,16295,64200,55,64550,-2.625,1.65625,6.546875,-1.98046875,-0.08984375,-0.98046875,0.99456787109375,-0.08154296875,0.00335693359375,-0.0601806640625,-6.910689382876597,-0.17974995635618674,-9.363345102668315,0.994586765766,-0.081036306918,0.003362182993,-0.059960771352,-6.885905585440818,-0.17360839829298494,-9.305588005537594,0.024783797435778965,0.006141558063201796,0.057757097130721746
-219,86,409,-502,-18,-251,16290,64154,57,64526,-3.421875,1.34375,6.390625,-1.9609375,-0.0703125,-0.98046875,0.9942626953125,-0.0843505859375,0.00347900390625,-0.0616455078125,-7.078823839914188,-0.19948034657707817,-9.686073110838802,0.994250059128,-0.08383320272,0.003491935786,-0.061389513314,-7.050261146389928,-0.19189792204118358,-9.627504277385857,0.02856269352426022,0.007582424535894583,0.05856883345294506
-266,79,406,-489,-10,-246,16284,64109,60,64503,-4.15625,1.234375,6.34375,-1.91015625,-0.0390625,-0.9609375,0.993896484375,-0.08709716796875,0.003662109375,-0.06304931640625,-7.24097993370146,-0.2121850073276768,-10.002870011297711,0.993912220001,-0.086569279432,0.003679283429,-0.062790647149,-7.211997939690269,-0.2038423487612301,-9.942889960692838,0.028981994011191503,0.008342658566446698,0.05998005060487266
-310,77,412,-468,-3,-238,16279,64066,64,64481,-4.84375,1.203125,6.4375,-1.828125,-0.01171875,-0.9296875,0.99359130859375,-0.0897216796875,0.00390625,-0.06439208984375,-7.396407540626784,-0.21728335246395117,-10.305621241180212,0.993578612804,-0.089190758765,0.003910360858,-0.064146950841,-7.369077153726166,-0.21039794359173156,-10.245506166120018,0.027330386900618286,0.006885408872219612,0.0601150750601942
-341,81,424,-448,-3,-228,16274,64025,68,64460,-5.328125,1.265625,6.625,-1.75,-0.01171875,-0.890625,0.9932861328125,-0.09222412109375,0.004150390625,-0.065673828125,-7.544961011606919,-0.22164189890238445,-10.594499632084913,0.993250072002,-0.09169781208,0.004140696954,-0.065443664789,-7.519393196102475,-0.21638299071474193,-10.53507089829307,0.02556781550444409,0.005258908187642519,0.05942873379184377
-344,83,444,-435,-5,-212,16269,63985,71,64440,-5.375,1.296875,6.9375,-1.69921875,-0.01953125,-0.828125,0.99298095703125,-0.09466552734375,0.00433349609375,-0.06689453125,-7.685935574708891,-0.23256729920811117,-10.876002258230558,0.992925882339,-0.094125777483,0.004361193161,-0.066644996405,-7.658754505583439,-0.22261420532173687,-10.815587628913866,0.027181069125451707,0.009953093886374303,0.060414629316692725
-327,77,457,-435,-10,-200,16264,63945,74,64422,-5.109375,1.203125,7.140625,-1.69921875,-0.0390625,-0.78125,0.99267578125,-0.09710693359375,0.0045166015625,-0.0679931640625,-7.8129584641323095,-0.24283017365412093,-11.157593730133406,0.992598354816,-0.096551388502,0.004557209089,-0.067772343755,-7.789422598415222,-0.23147966382250088,-11.095747629989424,0.023535865717087212,0.01135050983162006,0.06184610014398295
-308,67,461,-440,-20,-189,16259,63905,76,64405,-4.8125,1.046875,7.203125,-1.71875,-0.078125,-0.73828125,0.99237060546875,-0.09954833984375,0.004638671875,-0.06903076171875,-7.932288060541379,-0.2599651488529403,-11.438740202785318,0.992264866829,-0.099007748067,0.004702393897,-0.068828448653,-7.911381391940993,-0.24620409698533816,-11.379135412568633,0.020906668600385814,0.013761051867602153,0.05960479021668519
-296,55,457,-440,-31,-177,16253,63865,77,64389,-4.625,0.859375,7.140625,-1.71875,-0.12109375,-0.69140625,0.99200439453125,-0.10198974609375,0.00469970703125,-0.07000732421875,-8.04436217469032,-0.2839474940199425,-11.72013564956375,0.99192905426,-0.101469747722,0.004791807383,-0.069806747139,-8.02378266971596,-0.2670153482736248,-11.662808369610588,0.020579504974360674,0.01693214574631774,0.05732727995316189
-286,47,441,-433,-41,-161,16248,63825,78,64375,-4.46875,0.734375,6.890625,-1.69140625,-0.16015625,-0.62890625,0.99169921875,-0.10443115234375,0.0047607421875,-0.07086181640625,-8.141953720883278,-0.3069873092589376,-12.000922895471462,0.99159681797,-0.103896170855,0.004830896854,-0.070684663951,-8.124079461877793,-0.29261814894701094,-11.94206839280194,0.01787425900548456,0.014369160311926643,0.05885450266952219
-285,42,428,-417,-49,-148,16243,63787,78,64362,-4.453125,0.65625,6.6875,-1.62890625,-0.19140625,-0.578125,0.99139404296875,-0.10675048828125,0.0047607421875,-0.0716552734375,-8.231893708027751,-0.3356937654558046,-12.267363700631842,0.991272985935,-0.106234677136,0.004826253746,-0.071480996907,-8.214482146234754,-0.32196107974622507,-12.210934977042182,0.017411561792997077,0.013732685709579528,0.05642872358965967
-283,40,417,-394,-54,-136,16238,63751,77,64350,-4.421875,0.625,6.515625,-1.5390625,-0.2109375,-0.53125,0.9910888671875,-0.10894775390625,0.00469970703125,-0.0723876953125,-8.314158247438984,-0.36997855059240803,-12.519461779228072,0.990962028503,-0.108441464603,0.004790720996,-0.072203703225,-8.296055728948389,-0.3532253015775182,-12.464469844293335,0.018102518490595187,0.016753249014889837,0.054991934934736975
-281,36,410,-371,-56,-120,16233,63717,76,64340,-4.390625,0.5625,6.40625,-1.44921875,-0.21875,-0.46875,0.99078369140625,-0.11102294921875,0.004638671875,-0.072998046875,-8.382566212623017,-0.40205213971980486,-12.757809744225563,0.990666747093,-0.11051607877,0.004744763486,-0.072831481695,-8.36661619982727,-0.38372076646590547,-12.702788093449499,0.015950012795746815,0.018331373253899386,0.055021650776064135
-279,28,403,-335,-56,-100,16229,63686,75,64332,-4.359375,0.4375,6.296875,-1.30859375,-0.21875,-0.390625,0.99053955078125,-0.1129150390625,0.00457763671875,-0.073486328125,-8.436722257546082,-0.4312558128863621,-12.974715711691463,0.990398585796,-0.112384743989,0.004698457662,-0.073342762887,-8.423864682854298,-0.4113026387133732,-12.917484707305107,0.01285757469178428,0.01995317417298892,0.05723100438635598
-279,19,399,-307,-54,-84,16225,63658,74,64325,-4.359375,0.296875,6.234375,-1.19921875,-0.2109375,-0.328125,0.99029541015625,-0.1146240234375,0.0045166015625,-0.07391357421875,-8.4840968564152,-0.4583139959551615,-13.170884156055703,0.990152060986,-0.114094309509,0.004664716776,-0.073761992157,-8.47076029329084,-0.4351134464910726,-13.114040828092602,0.013336563124358491,0.023200549464088893,0.056843327963100876
-280,11,397,-276,-49,-69,16221,63633,74,64320,-4.375,0.171875,6.203125,-1.078125,-0.19140625,-0.26953125,0.99005126953125,-0.11614990234375,0.0045166015625,-0.07421875,-8.518597033878205,-0.4754267493237568,-13.34693744797527,0.989929676056,-0.115625761449,0.004658719059,-0.07409723103,-8.508455954835474,-0.4532996594124853,-13.290390260367536,0.010141079042730539,0.02212708991127149,0.05654718760773392
-278,6,395,-246,-44,-56,16218,63611,74,64316,-4.34375,0.09375,6.171875,-0.9609375,-0.171875,-0.21875,0.9898681640625,-0.11749267578125,0.0045166015625,-0.074462890625,-8.545876613307852,-0.49022914865029804,-13.50147937697425,0.989730596542,-0.116982616484,0.004678431898,-0.074360333383,-8.538308014041494,-0.4662185156061822,-13.446918110503441,0.0075685992663583335,0.024010633044115826,0.0545612664708095
-279,-1,394,-202,-36,-36,16215,63593,75,64314,-4.359375,-0.015625,6.15625,-0.7890625,-0.140625,-0.140625,0.98968505859375,-0.11859130859375,0.00457763671875,-0.0745849609375,-8.560455060857963,-0.4944354198068099,-13.629001834384471,0.989568531513,-0.118084266782,0.004740823526,-0.074513249099,-8.556256453807745,-0.4706869842860908,-13.574492159609925,0.004198607050218683,0.02374843552071909,0.054509674774546824
-278,-6,390,-169,-31,-20,16213,63578,76,64313,-4.34375,-0.09375,6.09375,-0.66015625,-0.12109375,-0.078125,0.98956298828125,-0.1195068359375,0.004638671875,-0.07464599609375,-8.567859621894593,-0.49623908403766553,-13.73500947705633,0.989435076714,-0.118994936347,0.004830096383,-0.074577070773,-8.564488317871616,-0.46928369396019803,-13.680357353426608,0.0033713040229770286,0.0269553900774675,0.05465212362972238
-280,-10,389,-133,-26,-8,16211,63566,78,64313,-4.375,-0.15625,6.078125,-0.51953125,-0.1015625,-0.03125,0.98944091796875,-0.1202392578125,0.0047607421875,-0.07464599609375,-8.56944984210498,-0.48872815980707573,-13.820844210362647,0.989331185818,-0.119697026908,0.004942027386,-0.074575260282,-8.565642587890297,-0.46262663451494,-13.762431865671829,0.003807254214683198,0.02610152529213572,0.058412344690818685
-280,-15,389,-87,-18,8,16210,63559,80,64314,-4.375,-0.234375,6.078125,-0.33984375,-0.0703125,0.03125,0.9893798828125,-0.12066650390625,0.0048828125,-0.0745849609375,-8.564069785597223,-0.47773201791577635,-13.871298661573045,0.98926615715,-0.120131447911,0.005092549603,-0.074487194419,-8.557612104455163,-0.4480996808339379,-13.814042275532401,0.006457681142059357,0.029632337081838434,0.05725638604064365
-281,-18,390,-54,-10,18,16209,63555,83,64316,-4.390625,-0.28125,6.09375,-0.2109375,-0.0390625,0.0703125,0.98931884765625,-0.12091064453125,0.00506591796875,-0.074462890625,-8.552888545217847,-0.45740256348670083,-13.901577337879486,0.989228487015,-0.120372585952,0.005282718688,-0.074347496033,-8.544329515717727,-0.42669530194747973,-13.843743278597882,0.008559029500119664,0.030707261539221098,0.057834059281603345
-282,-19,394,-28,-5,20,16209,63554,86,64318,-4.40625,-0.296875,6.15625,-0.109375,-0.01953125,0.078125,0.98931884765625,-0.1209716796875,0.0052490234375,-0.0743408203125,-8.541471787407318,-0.43547229464803505,-13.910228134778158,0.989209830761,-0.120460808277,0.005491952412,-0.07420039922,-8.530538836031955,-0.40170935822785675,-13.85598972358222,0.010932951375362876,0.0337629364201783,0.05423841119593931
-282,-20,397,-13,-3,23,16209,63554,89,64321,-4.40625,-0.3125,6.203125,-0.05078125,-0.01171875,0.08984375,0.98931884765625,-0.1209716796875,0.00543212890625,-0.07415771484375,-8.52321888678707,-0.4121751625130287,-13.912035071780378,0.989203035831,-0.120461218059,0.00570840342,-0.074037745595,-8.515109595502349,-0.3749356027745799,-13.858180473994723,0.00810929128472182,0.037239559738448835,0.053854597785655045
-287,-19,406,0,3,18,16209,63555,93,64323,-4.484375,-0.296875,6.34375,0.0,0.01171875,0.0703125,0.98931884765625,-0.12091064453125,0.00567626953125,-0.07403564453125,-8.512823581069345,-0.38228681671795284,-13.90733321552209,0.989202916622,-0.120382554829,0.005949999206,-0.073908746243,-8.503900128733132,-0.3451022589961155,-13.851459963619304,0.008923452336212279,0.03718455772183732,0.05587325190278669
-289,-17,416,0,5,13,16209,63556,97,64325,-4.515625,-0.265625,6.5,0.0,0.01953125,0.05078125,0.98931884765625,-0.120849609375,0.00592041015625,-0.07391357421875,-8.50242554275229,-0.3524002825310778,-13.902625806728242,0.989200294018,-0.120300605893,0.00619870238,-0.073810219765,-8.49626972058194,-0.3148597627876617,-13.844413734688004,0.006155822170349268,0.0375405197434161,0.05821207204023793
-294,-16,428,-3,10,5,16209,63557,101,64326,-4.59375,-0.25,6.6875,-0.01171875,0.0390625,0.01953125,0.98931884765625,-0.12078857421875,0.00616455078125,-0.0738525390625,-8.498952750022013,-0.32336037424475794,-13.897830583224236,0.989191770554,-0.120232567191,0.006471434142,-0.073761530221,-8.49465561666283,-0.2827041085721134,-13.839160445952162,0.004297133359182581,0.04065626567264452,0.05867013727207393
-294,-14,438,-8,13,-5,16209,63558,106,64326,-4.59375,-0.21875,6.84375,-0.03125,0.05078125,-0.01953125,0.98931884765625,-0.1207275390625,0.0064697265625,-0.0738525390625,-8.50324823935852,-0.2882462979215559,-13.89346579998759,0.989175021648,-0.120189711452,0.006755539216,-0.0737728104,-8.500040939930482,-0.25030567616924543,-13.836897772537386,0.0032072994280376577,0.0379406217523105,0.05656802745020428
-301,-14,452,-26,13,-18,16208,63557,111,64325,-4.703125,-0.21875,7.0625,-0.1015625,0.05078125,-0.0703125,0.9892578125,-0.12078857421875,0.00677490234375,-0.07391357421875,-8.5148263688449,-0.2550576083671427,-13.90372466408178,0.989139974117,-0.120250910521,0.007037952077,-0.073858723044,-8.513900352521988,-0.22002309049056945,-13.846597204252559,0.0009260163229125595,0.035034517876573246,0.057127459829221294
