q_w_int,q_x_int,q_y_int,q_z_int,q_w_fixed,q_x_fixed,q_y_fixed,q_z_fixed
16290,64508,714,64539,0.9942626953125,-0.062744140625,0.0435791015625,-0.06085205078125
16290,64508,721,64537,0.9942626953125,-0.062744140625,0.04400634765625,-0.06097412109375
16290,64511,728,64535,0.9942626953125,-0.06256103515625,0.04443359375,-0.06109619140625
16290,64517,735,64533,0.9942626953125,-0.06219482421875,0.04486083984375,-0.06121826171875
16290,64526,741,64531,0.9942626953125,-0.0616455078125,0.04522705078125,-0.06134033203125
16290,64536,746,64529,0.9942626953125,-0.06103515625,0.0455322265625,-0.06146240234375
16290,64546,750,64527,0.9942626953125,-0.0604248046875,0.0457763671875,-0.06158447265625
16290,64554,754,64525,0.9942626953125,-0.0599365234375,0.0460205078125,-0.06170654296875
16290,64551,757,64524,0.9942626953125,-0.06011962890625,0.04620361328125,-0.061767578125
16289,64542,759,64524,0.99420166015625,-0.0606689453125,0.04632568359375,-0.061767578125
16288,64532,760,64523,0.994140625,-0.061279296875,0.04638671875,-0.06182861328125
16287,64520,762,64522,0.99407958984375,-0.06201171875,0.0465087890625,-0.0618896484375
16286,64506,765,64522,0.9940185546875,-0.0628662109375,0.04669189453125,-0.0618896484375
16285,64491,768,64522,0.99395751953125,-0.06378173828125,0.046875,-0.0618896484375
16284,64476,770,64523,0.993896484375,-0.064697265625,0.0469970703125,-0.06182861328125
16283,64460,772,64525,0.99383544921875,-0.065673828125,0.047119140625,-0.06170654296875
16282,64443,773,64528,0.9937744140625,-0.06671142578125,0.04718017578125,-0.0615234375
16281,64427,774,64533,0.99371337890625,-0.06768798828125,0.0472412109375,-0.06121826171875
16280,64413,775,64539,0.99365234375,-0.06854248046875,0.04730224609375,-0.06085205078125
16280,64402,775,64545,0.99365234375,-0.0692138671875,0.04730224609375,-0.06048583984375
16280,64393,774,64552,0.99365234375,-0.06976318359375,0.0472412109375,-0.06005859375
16280,64386,772,64559,0.99365234375,-0.0701904296875,0.047119140625,-0.05963134765625
16280,64382,769,64566,0.99365234375,-0.0704345703125,0.04693603515625,-0.0592041015625
16280,64380,766,64574,0.99365234375,-0.070556640625,0.0467529296875,-0.0587158203125
16280,64378,764,64582,0.99365234375,-0.0706787109375,0.046630859375,-0.0582275390625
16281,64378,763,64590,0.99371337890625,-0.0706787109375,0.04656982421875,-0.0577392578125
16282,64379,764,64598,0.9937744140625,-0.07061767578125,0.046630859375,-0.0572509765625
16282,64377,768,64605,0.9937744140625,-0.07073974609375,0.046875,-0.05682373046875
16282,64373,774,64612,0.9937744140625,-0.07098388671875,0.0472412109375,-0.056396484375
16282,64368,782,64617,0.9937744140625,-0.0712890625,0.0477294921875,-0.05609130859375
16282,64363,791,64621,0.9937744140625,-0.07159423828125,0.04827880859375,-0.05584716796875
16282,64359,800,64624,0.9937744140625,-0.07183837890625,0.048828125,-0.0556640625
16282,64356,810,64625,0.9937744140625,-0.072021484375,0.0494384765625,-0.05560302734375
16281,64347,821,64623,0.99371337890625,-0.07257080078125,0.05010986328125,-0.05572509765625
16279,64332,832,64618,0.99359130859375,-0.073486328125,0.05078125,-0.0560302734375
16277,64312,840,64612,0.99346923828125,-0.07470703125,0.05126953125,-0.056396484375
16274,64289,845,64605,0.9932861328125,-0.07611083984375,0.05157470703125,-0.05682373046875
16271,64263,847,64597,0.99310302734375,-0.07769775390625,0.05169677734375,-0.05731201171875
16268,64234,846,64590,0.992919921875,-0.0794677734375,0.0516357421875,-0.0577392578125
16265,64201,842,64581,0.99273681640625,-0.08148193359375,0.0513916015625,-0.05828857421875
16262,64165,837,64571,0.9925537109375,-0.08367919921875,0.05108642578125,-0.05889892578125
16259,64130,831,64559,0.99237060546875,-0.0858154296875,0.05072021484375,-0.05963134765625
16255,64093,825,64545,0.99212646484375,-0.08807373046875,0.05035400390625,-0.06048583984375
16251,64055,820,64531,0.99188232421875,-0.09039306640625,0.050048828125,-0.06134033203125
16247,64017,815,64518,0.99163818359375,-0.09271240234375,0.04974365234375,-0.0621337890625
16243,63978,811,64507,0.99139404296875,-0.0950927734375,0.04949951171875,-0.06280517578125
