a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-2,6,390,5,16,-23,16385,33,65535,26,-0.03125,0.09375,6.09375,0.01953125,0.0625,-0.08984375,1.00006103515625,0.00201416015625,-6.103515625e-05,0.0015869140625,0.18182088317506445,-0.007360809511406028,0.23077967616674927,0.999998390675,0.001903903089,-0.000239437417,0.001605443424,0.18391750864781128,-0.027787725392297333,0.21812671196758543,0.0020966254727468325,0.020426915880891305,0.01265296419916384,6.264448125004041e-05,0.00011025706724999995,0.00017840226075,1.8529361500000058e-05
-6,4,412,-37,15,-7,16385,31,3,25,-0.09375,0.0625,6.4375,-0.14453125,0.05859375,-0.02734375,1.00006103515625,0.00189208984375,0.00018310546875,0.00152587890625,0.174881110772264,0.02065278495006473,0.21683554837515281,0.999998986721,0.001769416267,5.9387959e-05,0.001564121572,0.1792466457827084,0.006488210373679229,0.20277031142564886,0.004365535010444399,0.0141645745763855,0.014065236949503956,6.204843525003945e-05,0.00012267357674999998,0.00012371750975,3.8242665750000014e-05
-1,5,431,-10,9,-17,16386,34,4,24,-0.015625,0.078125,6.734375,-0.0390625,0.03515625,-0.06640625,1.0001220703125,0.0020751953125,0.000244140625,0.00146484375,0.16789545017375299,0.02763153135835779,0.23781097476620164,0.999999642372,0.001929319114,0.000172412198,0.001464516157,0.16785862716790104,0.019433195241966593,0.22111195633752953,3.68230058519492e-05,0.008198336116391196,0.016699018428672108,0.00012242794049999173,0.00014587619849999994,7.172842699999999e-05,3.275930000000687e-07
0,-1,448,-23,17,-10,16386,28,6,23,0.0,-0.015625,7.0,-0.08984375,0.06640625,-0.0390625,1.0001220703125,0.001708984375,0.0003662109375,0.00140380859375,0.16091612607485567,0.04169489346837894,0.19586962640191952,0.999999523163,0.00156804244,0.000259000779,0.001406123163,0.16117596876456108,0.029426631760099763,0.17972575542633948,0.000259842689705414,0.012268261708279174,0.016143870975580038,0.00012254714949999634,0.00014094193500000006,0.00010721015850000002,2.3145692500000075e-06
-4,3,467,-15,45,-3,16386,26,14,23,-0.0625,0.046875,7.296875,-0.05859375,0.17578125,-0.01171875,1.0001220703125,0.0015869140625,0.0008544921875,0.00140380859375,0.16099993543890015,0.09767431376120382,0.1819618057586566,0.999999821186,0.001565176412,0.000732602493,0.001388674369,0.15926137835344029,0.08370100949167239,0.17947221952374548,0.001738557085459863,0.01397330426953143,0.0024895862349111064,0.00012224912650005137,2.1737650499999974e-05,0.00012188969449999996,1.5134224750000059e-05
-5,1,486,-13,21,10,16386,24,20,24,-0.078125,0.015625,7.59375,-0.05078125,0.08203125,0.0390625,1.0001220703125,0.00146484375,0.001220703125,0.00146484375,0.1680428651456237,0.13965360114479372,0.1680428651456237,0.999999880791,0.001461160718,0.00108047598,0.001447144197,0.16601116327149168,0.12357120305000052,0.16761560489552743,0.0020317018741320136,0.0160823980947932,0.0004272602500962619,0.00012218952150000462,3.683032000000074e-06,0.000140227145,1.7699553000000102e-05
-6,-1,499,-17,48,7,16387,22,28,25,-0.09375,-0.015625,7.796875,-0.06640625,0.1875,0.02734375,1.00018310546875,0.0013427734375,0.001708984375,0.00152587890625,0.17508375624262718,0.19563663477196808,0.15414104084506336,0.999999761581,0.001259569661,0.001564197941,0.001488272566,0.17076930399333423,0.17902931788799037,0.14460280535577374,0.004314452249292944,0.016607316883977707,0.009538235489289615,0.0001833438877499871,8.320377649999994e-05,0.00014478643400000005,3.7606340249999974e-05
-2,-6,506,-22,31,0,16387,16,31,25,-0.03125,-0.09375,7.90625,-0.0859375,0.12109375,0.0,1.00018310546875,0.0009765625,0.00189208984375,0.00152587890625,0.17503281286205363,0.2166869872954618,0.11221615261530003,0.999999403954,0.000904024229,0.001758340048,0.00148833252,0.17073285955752304,0.20133704001412037,0.10389355551901613,0.0042999533045305904,0.015349947281341425,0.008322597096283899,0.00018370151475000096,7.253827100000003e-05,0.00013374979575000003,3.754638624999993e-05
0,-6,523,-2,36,34,16387,12,34,28,0.0,-0.09375,8.171875,-0.0078125,0.140625,0.1328125,1.00018310546875,0.000732421875,0.0020751953125,0.001708984375,0.195973984483616,0.2377006564850459,0.08432034803031023,0.999998450279,0.000673241389,0.001910779043,0.001687429496,0.19351332320342884,0.21882916073488135,0.07751742933277307,0.002460661280187154,0.018871495750164557,0.006802918697537158,0.00018465518974997153,5.918048600000005e-05,0.00016441626949999992,2.1554878999999975e-05
-3,-1,532,-27,89,16,16387,9,39,30,-0.046875,-0.015625,8.3125,-0.10546875,0.34765625,0.0625,1.00018310546875,0.00054931640625,0.00238037109375,0.0018310546875,0.20993567083019685,0.2727061506553491,0.06343491419550026,0.999997496605,0.000316580059,0.002542819362,0.001781380386,0.20422499724799006,0.29132153692931406,0.03679668437501273,0.005710673582206782,0.018615386273964973,0.02663822982048753,0.00018560886374996421,0.00023273634725,0.00016244826824999984,4.967430150000008e-05
