a_x,a_y,a_z,w_x,w_y,w_z,q_w_int,q_x_int,q_y_int,q_z_int,a_x_fp,a_y_fp,a_z_fp,w_x_fp,w_y_fp,w_z_fp,q_w,q_x,q_y,q_z,psi,theta,phi
-433,-20,597,970,374,-169,16045,63715,3266,871,-0.02642822265625,-0.001220703125,0.03643798828125,0.0592041015625,0.0228271484375,-0.01031494140625,0.97930908203125,-0.11114501953125,0.1993408203125,0.05316162109375,3.6844380808000063,23.71890303327147,-12.18761516924951
-386,319,633,801,225,-189,16050,63789,3290,836,-0.0235595703125,0.01947021484375,0.03863525390625,0.04888916015625,0.01373291015625,-0.01153564453125,0.9796142578125,-0.10662841796875,0.2008056640625,0.051025390625,3.523554344284819,23.84762582743526,-11.690958633699175
-276,785,624,819,110,-166,16057,63866,3303,804,-0.016845703125,0.04791259765625,0.0380859375,0.04998779296875,0.0067138671875,-0.0101318359375,0.98004150390625,-0.1019287109375,0.20159912109375,0.049072265625,3.3978795432161637,23.900825385538,-11.166752269491402
-152,1023,550,919,-18,-46,16066,63955,3305,783,-0.00927734375,0.06243896484375,0.0335693359375,0.05609130859375,-0.0010986328125,-0.0028076171875,0.9805908203125,-0.09649658203125,0.20172119140625,0.04779052734375,3.379571188783013,23.880796716492206,-10.5361533176105
-140,1023,424,1078,-141,159,16077,64064,3298,779,-0.008544921875,0.06243896484375,0.02587890625,0.0657958984375,-0.00860595703125,0.00970458984375,0.98126220703125,-0.08984375,0.2012939453125,0.04754638671875,3.5228640264859608,23.802659989264697,-9.731036911066592
-316,753,288,1318,-215,443,16090,64202,3288,798,-0.019287109375,0.04595947265625,0.017578125,0.0804443359375,-0.01312255859375,0.02703857421875,0.9820556640625,-0.0814208984375,0.20068359375,0.0487060546875,3.8810397821447076,23.709293968462315,-8.676011162924427
-496,321,248,1405,-225,576,16102,64350,3280,827,-0.0302734375,0.01959228515625,0.01513671875,0.08575439453125,-0.01373291015625,0.03515625,0.9827880859375,-0.0723876953125,0.2001953125,0.05047607421875,4.325646611984958,23.628626968896214,-7.5332292726306544
-636,-28,232,1398,-212,602,16113,64495,3274,858,-0.038818359375,-0.001708984375,0.01416015625,0.0853271484375,-0.012939453125,0.0367431640625,0.98345947265625,-0.06353759765625,0.1998291015625,0.0523681640625,4.77779614049948,23.55957165774869,-6.4110102042133095
-690,-228,220,1354,-172,520,16122,64633,3271,882,-0.0421142578125,-0.013916015625,0.013427734375,0.0826416015625,-0.010498046875,0.03173828125,0.9840087890625,-0.05511474609375,0.19964599609375,0.0538330078125,5.165259808246063,23.505732195260258,-5.352515321246833
-628,-252,214,1244,-100,335,16129,64756,3273,890,-0.038330078125,-0.015380859375,0.0130615234375,0.075927734375,-0.006103515625,0.02044677734375,0.98443603515625,-0.047607421875,0.19976806640625,0.0543212890625,5.4097577466256555,23.48381244248517,-4.429300069405978
-544,-129,213,1144,-49,225,16135,64868,3279,889,-0.033203125,-0.00787353515625,0.01300048828125,0.06982421875,-0.00299072265625,0.01373291015625,0.98480224609375,-0.040771484375,0.20013427734375,0.05426025390625,5.570140486973673,23.49130620368592,-3.6004578164260783
-476,46,220,1055,0,182,16139,64972,3289,886,-0.029052734375,0.0028076171875,0.013427734375,0.06439208984375,0.0,0.0111083984375,0.98504638671875,-0.034423828125,0.20074462890625,0.0540771484375,5.703769233694131,23.528715289198523,-2.8328928293584332
-447,190,236,988,41,212,16140,65071,3302,887,-0.02728271484375,0.0115966796875,0.014404296875,0.060302734375,0.00250244140625,0.012939453125,0.985107421875,-0.02838134765625,0.2015380859375,0.05413818359375,5.86065534574682,23.587328323405437,-2.0952532452173194
