a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-117,240,271,-527,-41,-379,16359,64804,95,64959,-1.828125,3.75,4.234375,-2.05859375,-0.16015625,-1.48046875,0.99847412109375,-0.044677734375,0.00579833984375,-0.03521728515625,-4.061781950512939,0.4831310453718253,-5.141225628949548,0.99832957983,-0.044403929263,0.005653341766,-0.035158630461,-4.05483535436707,0.46785010167357144,-5.110035832312628,0.006946596145869677,0.015280943698253835,0.03118979663692034,0.00014454126374996434,0.0002738051120000015,0.00014499807775000036,5.8654695250001665e-05
-125,232,282,-497,-49,-361,16355,64759,92,64925,-1.953125,3.625,4.40625,-1.94140625,-0.19140625,-1.41015625,0.99822998046875,-0.04742431640625,0.005615234375,-0.03729248046875,-4.299939281882838,0.43966060340824525,-5.456475605381608,0.998118638992,-0.04712549597,0.005465417169,-0.037235617638,-4.293030761672728,0.42403707761107795,-5.422243492914801,0.006908520210109792,0.015623525797167304,0.0342321124668068,0.00011134147674995987,0.00029882043624999965,0.00014981720600000005,5.6862830750001314e-05
-131,226,292,-474,-56,-348,16351,64716,88,64892,-2.046875,3.53125,4.5625,-1.8515625,-0.21875,-1.359375,0.99798583984375,-0.050048828125,0.00537109375,-0.039306640625,-4.530518478312505,0.3888149178203516,-5.7573171801850895,0.99790430069,-0.04971537739,0.005240155384,-0.039234247059,-4.521805301451726,0.3757058087538666,-5.719045993768534,0.00871317686077866,0.013109109066484992,0.03827118641655591,8.153915374997656e-05,0.0003334507349999974,0.000130938366,7.23935660000008e-05
-138,221,307,-453,-61,-335,16348,64675,84,64861,-2.15625,3.453125,4.796875,-1.76953125,-0.23828125,-1.30859375,0.997802734375,-0.05255126953125,0.005126953125,-0.04119873046875,-4.746584559240886,0.33812065900152904,-6.043634202544103,0.997687458992,-0.052185121924,0.004989726003,-0.041154928505,-4.741267193345183,0.3243545262883688,-6.001808567950356,0.0053173658957028636,0.01376613271316024,0.04182563459374755,0.00011527538300004636,0.0003661476072499975,0.0001372271219999997,4.3801963749999506e-05
-145,217,321,-435,-67,-323,16344,64636,79,64831,-2.265625,3.390625,5.015625,-1.69921875,-0.26171875,-1.26171875,0.99755859375,-0.054931640625,0.00482177734375,-0.04302978515625,-4.955321685011937,0.2803274498698714,-6.315871158310146,0.997468411922,-0.054552588612,0.004708239809,-0.043003059924,-4.951997951453607,0.2693361039803966,-6.272543495121607,0.0033237335583296,0.010991345889474813,0.04332766318853931,9.018182800002439e-05,0.00037905201300000163,0.00011353753474999985,2.672523225000223e-05
-157,211,340,-417,-69,-307,16340,64599,74,64802,-2.453125,3.296875,5.3125,-1.62890625,-0.26953125,-1.19921875,0.997314453125,-0.05718994140625,0.0045166015625,-0.0447998046875,-5.156829238189119,0.22258020318993574,-6.573967082402749,0.997249364853,-0.056818716228,0.00442358572,-0.044756293297,-5.151610600575544,0.21410599378013617,-6.531487173971019,0.005218637613575439,0.008474209409799566,0.042479908431729996,6.508827200002454e-05,0.0003712251782500009,9.301584250000043e-05,4.351139050000341e-05
-166,205,356,-410,-67,-297,16336,64562,70,64774,-2.59375,3.203125,5.5625,-1.6015625,-0.26171875,-1.16015625,0.9970703125,-0.0594482421875,0.0042724609375,-0.0465087890625,-5.35153093834328,0.17132359780109366,-6.8322123032105155,0.997026145458,-0.05904622376,0.004158148542,-0.046450786293,-5.3444217833060605,0.1607766708160308,-6.785969245189316,0.007109155037219317,0.010546926985062849,0.04624305802119988,4.4167042000053947e-05,0.0004020184274999977,0.00011431239550000003,5.8002769499999884e-05
-177,200,372,-404,-64,-289,16332,64526,66,64747,-2.765625,3.125,5.8125,-1.578125,-0.25,-1.12890625,0.996826171875,-0.0616455078125,0.0040283203125,-0.04815673828125,-5.539051551525037,0.11996467646080501,-7.083337526299569,0.99679851532,-0.061241243035,0.003917808179,-0.048098515719,-5.5318641382409055,0.10996814193697975,-7.036745188904742,0.0071874132841314164,0.009996534523825262,0.046592337394826266,2.7656555000032945e-05,0.0004042647775000033,0.00011051213350000023,5.8222562250000165e-05
-188,193,386,-404,-61,-282,16328,64490,62,64721,-2.9375,3.015625,6.03125,-1.578125,-0.23828125,-1.1015625,0.99658203125,-0.0638427734375,0.0037841796875,-0.04974365234375,-5.719384072483629,0.06823616725984756,-7.334325966111866,0.996564626694,-0.063439443707,0.003704379546,-0.049705155194,-5.714623952654642,0.061694528747218515,-7.287935361529704,0.004760119828986831,0.006541638512629046,0.04639060458216182,1.740455599996693e-05,0.00040332973050000165,7.980014150000018e-05,3.849714975000251e-05
-201,181,402,-412,-56,-271,16324,64453,59,64695,-3.140625,2.828125,6.28125,-1.609375,-0.21875,-1.05859375,0.996337890625,-0.06610107421875,0.00360107421875,-0.05133056640625,-5.899936818407085,0.02233173094359913,-7.592492554191011,0.996322929859,-0.065688967705,0.003535726573,-0.051247775555,-5.89022758362385,0.01791203434810306,-7.545185167986976,0.0097092347832346,0.00441969659549607,0.04730738620403496,1.4960766000049475e-05,0.0004121065137499963,6.53476457499998e-05,8.27908512500003e-05
